,tweet_created_at,tweet_full_text,text_clean
549,Fri Sep 07 04:02:19 +0000 2018,"Because I just like people to have facts.....

Never forget the time that Kap met with a Military Vet who suggested that kneeling was a respectful way to protest during the anthem.......... #GottaDoTheEducation #JustDoIt https://t.co/ICWDChZksk",becaus i just like peopl to have fact never forget the time that kap met with a militari vet who suggest that kneel wa a respect way to protest dure the anthem gottadotheeduc justdoit url
743,Fri Sep 07 04:02:08 +0000 2018,"Just saw the @Kaepernick7 @Nike ad and loved it. At the end, my 6 year old said “I want to be one of the faces on the buildings. They’re the best.” Thanks for the positive inspiration. #JustDoIt #GoodTrouble",just saw the user_ment user_ment ad and love it at the end my year old said want to be one of the face on the build the thank for the posit inspir justdoit goodtroubl
1261,Fri Sep 07 04:02:02 +0000 2018,"I don't plan on boycotting Nike. If I had a conscience about their business practices, I probably would have responded to one of the dozens of messages I've received in my Nike shoe boxes over the years.

#nike #NikeBoycott #NikeAd #ColinKaepernick #Kaepernick #JustDoIt https://t.co/Fq09baeAcD",i dont plan on boycot nike if i had a conscienc about their busi practic i probabl would have respond to one of the dozen of messag ive receiv in my nike shoe box over the year nike nikeboycott nikead colinkaepernick kaepernick justdoit url
548,Fri Sep 07 04:01:57 +0000 2018,Question if you see a white person wearing Nike dose that make them a n¡&amp;&amp;3r lover? That's what this is all about right? Race? #JustDoIt #NikeBoycott #NikeAd #NFLKickoff #StandForSomething #or #sitforanything #unity #nothate,question if you see a white person wear nike dose that make them a lover that what thi is all about right race justdoit nikeboycott nikead nflkickoff standforsometh or sitforanyth uniti nothat
4541,Fri Sep 07 04:01:56 +0000 2018,Im with Kap! Im with #Nike #TakeAKnee #JustDoIt #BlackLivesMatter #ColinKaepernick https://t.co/Xm4t2FXvoD,im with kap im with nike takeakne justdoit blacklivesmatt colinkaepernick url
4373,Fri Sep 07 04:01:14 +0000 2018,Nike sucks!! Adidas here I come!! #nike #justdoit,nike suck adida here i come nike justdoit
377,Fri Sep 07 04:01:13 +0000 2018,This gave me goosebumps...#JustDoIt https://t.co/j2ZJrRqdV1,thi gave me goosebump justdoit url
531,Fri Sep 07 04:01:03 +0000 2018,"""I don't like what Nike did. I don't think it's appropriate what they did."" @realDonaldTrump And as POTUS it's not inappropriate how unpresidential you are every single day? #Nike #JustDoIt",i dont like what nike did i dont think it appropri what they did user_ment and as potu it not inappropri how unpresidenti you are everi singl day nike justdoit
3404,Fri Sep 07 04:00:50 +0000 2018,80° outside and I'm sitting in class FREEZING with a HOODIE on and wrapped in my little blue blanket! Side Note: Rockin my Nike's!  😉 #justdoit #nike #GradSchoolChronicles #freezing… https://t.co/cRhJ2891ei,outsid and im sit in class freez with a hoodi on and wrap in my littl blue blanket side note rockin my nike justdoit nike gradschoolchronicl url
836,Fri Sep 07 04:00:30 +0000 2018,"The last of our #wise #quotes from #childhood #stories. 

#qotd #powerofwords #words #positive #positiveattitude #thoughts #dreams #motivational #mindset #bookquotes #books #empower #imagine #believe #authors #inspirational #getstarted #justdoit #nevergiveup #followyourdream https://t.co/ruyVenQkcb",the last of our wise quot from childhood stori qotd powerofword word posit positiveattitud thought dream motiv mindset bookquot book empow imagin believ author inspir getstart justdoit nevergiveup followyourdream url
